Project_ID,Title,Description
51305,Design of special optical fibers via AI inverse-design methods,"Project ID 51305
Design of special optical fibers via AI inverse-design methods
The goal of this project is to apply the inverse design optimization method to optical fiber design in order to explore unconventional and high-performance designs. The work will involve using existing inverse design algorithms and libraries (e.g., in Python or Matlab) and adapting them to the project's objective: optimizing the predicted optical properties of fibers for high-speed communication. These optical properties will be calculated (i.e., validated) using finite element analysis software (e.g., COMSOL Multiphysics). Communication and programming work to run certain long calculations via a supercomputer cluster hosted at Calcul Québec will also be investigated.
Faculty supervisor:  BoraUng
Faculty Province: Québec
Faculty University: École de Technologie Supérieure
Faculty Campus: Montréal
Project Location: MONTREAL, Québec
Language: English
Preferred start date: 2027-05-10 (yyyy-mm-dd)
View Detail
Apply"
51306,High-performance practical blockchain systems,"Project ID 51306
High-performance practical blockchain systems
This is a multi-faceted project on improving core blockchain components in order to improve its performance. Students will be in charge of investigating one or more aspects of blockchains, formulating novel problems, designing, implementing, and evaluating their solution. The objectives of this project include the following. Note that students are expected to choose a subset of goals to fulfill: 1- Investigate relevant blockchain use cases in the public and private sectors, identify suitable blockchain platforms, and develop Proof-of-Concept applications. This includes: cryptocurrencies, NFTs, supply chain traceability, etc. 2- Develop and improve upon existing consensus algorithms, such as Proof-of-Work, PBFT, to support more peers, provide a higher transaction throughput, and deliver predictable commit times. 3- Improve the blockchain data structure (e.g., Merkle tree) for fast insertion, querying, and compressibility. Propose new blockchain structures (e.g., tree) with increased transaction parallelism. 4- Propose a data structure for storing off-chain information, with on-chain verification mechanisms, and a dynamic algorithm for offloading data. 5- Study the effect of networking on blockchain commit time, resilience to attacks, and fork rate. Develop networking protocols for enhanced performance. 6- Create blockchain middleware, delivering reusable services in a reliable and safe manner, such as messaging, identity management, replication, etc. 7- Integrate quantum technology to improve the security of blockchains, such as QRNG (quantum random number generation)
Faculty supervisor:  KaiwenZhang
Faculty Province: Québec
Faculty University: École de Technologie Supérieure
Faculty Campus: Montréal
Project Location: Montreal, Québec
Language: Either English or French
Preferred start date: 2027-05-03 (yyyy-mm-dd)
View Detail
Apply"
51543,Design and characterization of an Integrated circuit test setup,"Project ID 51543
Design and characterization of an Integrated circuit test setup
Temperature has an effect on the performance of all electronics systems. This effect of temperature on the performance of integrated circuits is usually simulated but rarely experimentaly measured and reported. Accordingly this project aims to devellop a thermally stable environnent in which the temperature can be precisely controlled in order to quantify the impact of the temperature on the performance of integrated circuits The project will be conducted using commercial of the shelf electronics components. The deliverable of this project include the following items: A thermally stable environment in which to test integrated circuit. A computer control of that environment. A report an user manual for the system.
Faculty supervisor:  RichardAl Hadi
Faculty Province: Québec
Faculty University: École de Technologie Supérieure
Faculty Campus: Montréal
Project Location: Montreal, Québec
Language: Either English or French
Preferred start date: 2027-05-03 (yyyy-mm-dd)
View Detail
Apply"
51702,Graph-RAG for Disaster Management and Emergency Intervention During Extreme Wind Events,"Project ID 51702
Graph-RAG for Disaster Management and Emergency Intervention During Extreme Wind Events
Extreme wind events such as hurricanes and tornadoes can cause severe damage to buildings, critical infrastructure, transportation networks, and urban vegetation, while also disrupting emergency response operations. Effective disaster management during such events requires rapid access to reliable, multi-source information, including hazard forecasts, infrastructure data, historical damage records, emergency protocols, and real-time field observations. However, these data are often fragmented across heterogeneous formats and sources, which limits their direct use for decision support. This project aims to develop an intelligent Graph Retrieval-Augmented Generation (Graph-RAG) framework for disaster management and intervention during extreme wind events. The proposed system will integrate structured and unstructured data into a graph-based knowledge representation capturing relationships among hazards, exposed assets, vulnerabilities, damage mechanisms, and intervention strategies. On top of this graph, a retrieval-augmented generation pipeline will be designed to support advanced querying, reasoning, and context-aware decision assistance. The framework will be applied to wind-related disaster scenarios involving hurricanes and tornadoes. Example use cases include identifying vulnerable infrastructure and urban elements, tracing likely cascading impacts such as road blockage or power interruption, retrieving relevant emergency procedures, and generating intervention recommendations for response and recovery planning. The project will combine concepts from natural language processing, knowledge graphs, machine learning, and disaster risk analysis. The expected outcome is a prototype decision-support tool that improves situational awareness and facilitates more informed and timely intervention during extreme wind events.
Faculty supervisor:  RedaSnaiki
Faculty Province: Québec
Faculty University: École de Technologie Supérieure
Faculty Campus: Montréal
Project Location: Montreal, Québec
Language: English
Preferred start date: 2027-05-10 (yyyy-mm-dd)
View Detail
Apply"
51703,Reinforcement Learning for Adaptive Disaster Mitigation and Climate Resilience,"Project ID 51703
Reinforcement Learning for Adaptive Disaster Mitigation and Climate Resilience
Natural hazards such as extreme wind events, extreme heat, flooding, and other climate-related hazards can cause major disruptions to buildings, infrastructure systems, public services, and community wellbeing. Effective disaster mitigation requires adaptive decision-making under uncertainty, particularly when emergency managers and stakeholders must allocate limited resources, prioritize actions, and respond to evolving conditions in real time. This project aims to develop an advanced reinforcement learning (RL) framework for disaster mitigation and resilient intervention under multi-hazard conditions. The objective is to investigate how RL-based agents can learn efficient strategies for reducing risk, limiting cascading impacts, and improving the resilience of exposed systems before, during, and after hazardous events. The framework will be designed to support sequential decision-making problems such as resource allocation, infrastructure protection, evacuation support, intervention prioritization, and recovery planning. The project will consider applications to different hazard types, with representative case studies such as extreme wind events affecting infrastructure and extreme heat events affecting urban systems and vulnerable populations. Depending on the research scope, the study may explore deep reinforcement learning, multi-agent reinforcement learning, or constrained reinforcement learning approaches. The expected outcome is a computational decision-support framework capable of identifying adaptive mitigation strategies that enhance resilience, reduce losses, and support more effective disaster management across a range of hazard scenarios.
Faculty supervisor:  RedaSnaiki
Faculty Province: Québec
Faculty University: École de Technologie Supérieure
Faculty Campus: Montréal
Project Location: Montreal, Québec
Language: English
Preferred start date: 2027-05-10 (yyyy-mm-dd)
View Detail
Apply"
51704,AI-Driven Rapid Simulation of Urban Wind Flow in Cities Using Graph Neural Networks,"Project ID 51704
AI-Driven Rapid Simulation of Urban Wind Flow in Cities Using Graph Neural Networks
Accurate prediction of urban wind flow is essential for many applications, including pedestrian wind comfort and safety, dispersion of pollutants, urban heat mitigation, and the wind-resilient design of buildings and infrastructure. However, high-fidelity computational fluid dynamics (CFD) simulations of wind flow in complex urban environments are often computationally expensive and may not be practical for rapid analysis, large-scale parametric studies, or real-time decision support. This project aims to develop an artificial intelligence framework for rapid simulation of urban wind flow in cities, with a particular focus on graph neural networks (GNNs) and related geometric deep learning approaches. The idea is to represent urban environments as graphs, where buildings, streets, and other spatial entities are encoded as interconnected nodes and edges, allowing the model to learn how urban morphology influences local wind patterns. By training on simulation or experimental datasets, the proposed AI model will predict key wind-flow quantities, such as local wind speed, flow direction, acceleration zones, or sheltered regions, at a fraction of the cost of conventional numerical simulations. The project will investigate how AI can serve as a fast surrogate model for urban wind analysis while preserving physically meaningful spatial relationships. Potential applications include rapid screening of city districts, sensitivity analyses for urban design, support for climate-adaptive planning, and enhanced assessment of wind-related risks in dense urban areas. The expected outcome is a computational framework that combines accuracy, efficiency, and scalability for next-generation urban wind modeling.
Faculty supervisor:  RedaSnaiki
Faculty Province: Québec
Faculty University: École de Technologie Supérieure
Faculty Campus: Montréal
Project Location: Montreal, Québec
Language: English
Preferred start date: 2027-05-10 (yyyy-mm-dd)
View Detail
Apply"
51916,Multi-objective optimization of resilient of climatic resilient supply chains,"Project ID 51916
Multi-objective optimization of resilient of climatic resilient supply chains
This project focuses on developing an optimization framework (based on math modeling, heuristics and/or simulation) to balance efficiency and robustness in global logistics under the increasing threat of climate change. The student will design and implement a multi-objective optimization model aimed at minimizing operational costs while maximizing the ""resilience"" of the supply chain against extreme weather events and shifting environmental regulations. Math modeling, heuristic or hybrid simulation will be used to analyze trade-offs between operational scenarios to evaluate climate-induced disruptions.
Faculty supervisor:  JairoMontoya Torres
Faculty Province: Québec
Faculty University: École de Technologie Supérieure
Faculty Campus: Montréal
Project Location: Montréal, Québec
Language: Either English or French
Preferred start date: 2027-05-03 (yyyy-mm-dd)
View Detail
Apply"
52781,Modular and Reusable Flight Software Architecture for machine learning on Small Satellites,"Project ID 52781
Modular and Reusable Flight Software Architecture for machine learning on Small Satellites
This research project aims to advance the development of autonomous small satellite systems by leveraging a reusable software framework to streamline the creation of flight software for space missions on low-power embedded processors. The focus is on integrating onboard artificial intelligence (AI) capabilities into the flight software architecture of small satellites, such as CubeSats, to enhance their autonomy, adaptability, and resilience in space environments. Traditionally, flight software development is a time-intensive process requiring mission-specific customization and extensive testing. By employing a modular and extensible software framework from NASA and ESA, this project will significantly reduce development time while ensuring reliability and standardization across missions. Interns will contribute to adapting and extending this framework to support AI-driven functionalities, including real-time data analysis, anomaly detection, decision-making, and fault tolerance onboard the spacecraft. The project provides an interdisciplinary learning experience at the intersection of aerospace engineering, embedded systems, and machine learning. Interns will gain hands-on experience with flight software development, AI integration techniques, and testing in simulated or hardware-in-the-loop environments, preparing them for careers in cutting-edge space technology development.
Faculty supervisor:  Jesus Gonzalez Llorente
Faculty Province: Québec
Faculty University: École de Technologie Supérieure
Faculty Campus: Montréal
Project Location: Montreal, Québec
Language: English
Preferred start date: 2027-05-17 (yyyy-mm-dd)
View Detail
Apply"
52811,Extending an Open-Source IDE Extension for Real-Time TypeScript Code Modeling,"Project ID 52811
Extending an Open-Source IDE Extension for Real-Time TypeScript Code Modeling
Analyser la conception des logiciels orientés objet (Java, C#, C++, TypeScript, etc.) du point de vue de la réutilisation et de la stabilité à long terme. Proposition de stratégies empiriques permettant aux développeurs de produire un code plus facile à réutiliser à court et à long terme.
Faculty supervisor:  ChristopherFuhrman
Faculty Province: Québec
Faculty University: École de Technologie Supérieure
Faculty Campus: Montréal
Project Location: Montreal, Québec
Language: Either English or French
Preferred start date: 2027-05-03 (yyyy-mm-dd)
View Detail
Apply"
52814,Extending an open-source static analysis tool (parser) for TypeScript,"Project ID 52814
Extending an open-source static analysis tool (parser) for TypeScript
The intern will improve the features of an open-source static analysis tool (parser) for the TypeScript language. This tool is used in a chain of tools used for doing research involving data-mining of object-oriented (TypeScript, Java, Python) code for understanding the evolution of software projects on popular web frameworks such as Angular and React. The current version of the tool can be found at https://github.com/fuhrmanator/FamixTypeScriptImporter
Faculty supervisor:  ChristopherFuhrman
Faculty Province: Québec
Faculty University: École de Technologie Supérieure
Faculty Campus: Montréal
Project Location: Montreal, Québec
Language: Either English or French
Preferred start date: 2027-05-03 (yyyy-mm-dd)
View Detail
Apply"
